index,IMDb_ID,IMDb Rating,Num Votes
0,tt0145487,7.3,670777.0
1,tt0316654,7.3,528482.0
2,tt0413300,6.2,485814.0
3,tt0133093,8.7,1615984.0
4,tt0234215,7.2,502256.0
5,tt0242653,6.8,436223.0
6,tt0120737,8.8,1605080.0
7,tt0167261,8.7,1437282.0
8,tt0167260,8.9,1590756.0
9,tt0088763,8.5,1010895.0
10,tt0096874,7.8,460788.0
11,tt0099088,7.4,388419.0
12,tt0093409,7.6,230529.0
13,tt0097733,7.2,157468.0
14,tt0104714,6.7,153359.0
15,tt0122151,6.6,149989.0
16,tt0095016,8.2,761992.0
17,tt0099423,7.2,327518.0
18,tt0112864,7.6,354942.0
19,tt0337978,7.1,382227.0
20,tt1606378,5.3,194603.0
21,tt0079501,6.9,185672.0
22,tt0082694,7.6,162063.0
23,tt0089530,6.3,123729.0
24,tt0075148,8.1,501730.0
25,tt0079817,7.3,185378.0
26,tt0084602,6.8,168207.0
27,tt0089927,6.9,180964.0
28,tt0100507,5.3,123351.0
29,tt0479143,7.1,199487.0
30,tt0083944,7.7,219237.0
31,tt0089880,6.5,149938.0
32,tt0095956,5.8,118546.0
33,tt0462499,7.0,213774.0
34,tt0088247,8.0,777492.0
35,tt0103064,8.5,966669.0
36,tt0181852,6.3,369497.0
37,tt0438488,6.5,337090.0
38,tt0093870,7.5,226017.0
39,tt0100502,5.8,79240.0
40,tt0107978,4.1,44709.0
41,tt0120903,7.4,558544.0
42,tt0290334,7.4,501095.0
43,tt0376994,6.7,472674.0
44,tt1270798,7.7,633383.0
45,tt1877832,8.0,646472.0
46,tt0458525,6.6,456887.0
47,tt1430132,6.7,419703.0
48,tt0232500,6.8,338121.0
49,tt0322259,5.9,244653.0
50,tt0463985,6.0,233991.0
51,tt1013752,6.6,255751.0
52,tt1596343,7.3,344902.0
53,tt0295701,5.9,170874.0
54,tt0329774,4.4,66166.0
55,tt0134847,7.1,221190.0
56,tt0296572,6.7,210972.0
57,tt0407658,6.6,10635.0
58,tt1411250,6.4,150974.0
59,tt0293662,6.8,279695.0
60,tt0388482,6.3,187588.0
61,tt1129442,6.1,154235.0
62,tt0479884,6.9,229799.0
63,tt1121931,6.2,137542.0
64,tt0078748,8.4,760584.0
65,tt0090605,8.3,633950.0
66,tt0103644,6.5,269421.0
67,tt0118583,6.2,222531.0
68,tt0370263,5.6,180689.0
69,tt0758730,4.7,113544.0
70,tt0093773,7.8,361813.0
71,tt0100403,6.3,142218.0
72,tt1424381,6.4,207544.0
73,tt0083907,7.5,180537.0
74,tt0092991,7.8,143463.0
75,tt0106308,7.5,158653.0
76,tt0387564,7.6,369172.0
77,tt0432348,6.6,227496.0
78,tt0489270,6.2,174125.0
79,tt0890870,5.9,136978.0
80,tt1132626,5.8,112192.0
81,tt1233227,6.0,98810.0
82,tt1477076,5.6,87969.0
83,tt0114508,5.8,72284.0
84,tt0120841,4.4,26806.0
85,tt0410650,4.2,8725.0
86,tt0844894,4.1,6301.0
87,tt0117571,7.2,276203.0
88,tt0120082,6.2,152265.0
89,tt0134084,5.6,120128.0
90,tt1262416,6.1,124064.0
91,tt0195714,6.7,223054.0
92,tt0309593,6.2,148189.0
93,tt0414982,5.8,127306.0
94,tt1144884,5.2,94318.0
95,tt1622979,5.8,103775.0
96,tt0320691,7.0,247910.0
97,tt0401855,6.7,186377.0
98,tt0834001,6.6,147970.0
99,tt1496025,6.4,143228.0
100,tt0099365,6.4,56695.0
101,tt0109552,5.1,4690.0
102,tt0116033,4.8,3424.0
103,tt0418279,7.0,586248.0
104,tt1055369,6.0,377366.0
105,tt1399103,6.2,378156.0
106,tt0163651,7.0,367510.0
107,tt0252866,6.4,234767.0
108,tt0328828,6.3,190327.0
109,tt0436058,5.1,66629.0
110,tt0808146,5.1,63993.0
111,tt0974959,5.3,59891.0
112,tt1407050,4.8,42726.0
113,tt0120667,5.7,306261.0
114,tt0486576,5.6,246473.0
115,tt0286716,5.6,247524.0
116,tt0800080,6.7,423277.0
117,tt0078346,7.3,155061.0
118,tt0081573,6.8,95572.0
119,tt0086393,5.0,62647.0
120,tt0094074,3.7,41709.0
121,tt0139134,6.8,175210.0
122,tt0196267,4.4,14626.0
123,tt0391891,4.7,7690.0
124,tt0120890,6.5,105272.0
125,tt0365270,4.6,6634.0
126,tt0448179,4.5,4526.0
127,tt1523372,4.5,2756.0
128,tt0146336,5.6,57873.0
129,tt0192731,4.3,15619.0
130,tt0451957,4.2,7599.0
131,tt0330793,6.4,147001.0
132,tt0450314,5.9,59251.0
133,tt0096895,7.5,329343.0
134,tt0103776,7.0,266527.0
135,tt0112462,5.4,229775.0
136,tt0118688,3.7,228438.0
137,tt0372784,8.2,1266591.0
138,tt0468569,9.0,2220190.0
139,tt1345836,8.4,1467622.0
140,tt0167190,6.8,301159.0
141,tt0411477,7.0,251211.0
142,tt0120611,7.1,238044.0
143,tt0187738,6.7,195085.0
144,tt0359013,5.9,162384.0
145,tt0348150,6.0,267189.0
146,tt0287978,5.3,203322.0
147,tt0357277,4.7,85585.0
148,tt0109506,7.6,162437.0
149,tt0115986,4.7,18769.0
150,tt0132910,4.9,10611.0
151,tt0353324,3.0,8125.0
152,tt0119654,7.3,503188.0
153,tt0120912,6.2,334354.0
154,tt1409024,6.8,327084.0
155,tt0120804,6.7,241778.0
156,tt0318627,6.2,182413.0
157,tt0432021,6.3,179894.0
158,tt1220634,5.8,158987.0
159,tt1855325,5.4,130091.0
160,tt0116367,7.2,278724.0
161,tt0120860,4.1,14975.0
162,tt0120695,4.8,10758.0
163,tt0227538,5.5,105463.0
164,tt0287717,5.1,58662.0
165,tt0338459,4.3,53163.0
166,tt1517489,3.5,21889.0
167,tt0119345,5.7,129411.0
168,tt0130018,4.7,66830.0
169,tt0356634,5.0,76978.0
170,tt0455499,5.0,37634.0
171,tt0371746,7.9,914174.0
172,tt1228705,7.0,700641.0
173,tt1300854,7.2,734324.0
174,tt0126029,7.8,595484.0
175,tt0298148,7.2,406763.0
176,tt0413267,6.1,272143.0
177,tt0892791,6.3,178709.0
178,tt0823671,6.8,11360.0
