,IMDb_ID,Title,Movie Series,Order,Genres,Year,IMDb Rating,Num Votes
62,tt0088763,Back to the Future,Back to the Future,1,"Adventure, Comedy, Sci-Fi",1985,8.5,1010895.0
63,tt0096874,Back to the Future Part II,Back to the Future,2,"Adventure, Comedy, Sci-Fi",1989,7.8,460788.0
64,tt0099088,Back to the Future Part III,Back to the Future,3,"Adventure, Comedy, Sci-Fi, Western",1990,7.4,388419.0
66,tt0112442,Bad Boys,Bad Boys,1,"Action, Comedy, Crime, Thriller",1995,6.9,232706.0
67,tt0172156,Bad Boys II,Bad Boys,2,"Action, Comedy, Crime, Thriller",2003,6.6,225438.0
68,tt0103759,Bad Lieutenant,Bad Lieutenant,1,"Crime, Drama, Thriller",1992,7.1,37370.0
69,tt1095217,The Bad Lieutenant: Port of Call - New Orleans,Bad Lieutenant,2,"Crime, Drama",2009,6.6,73005.0
70,tt0307987,Bad Santa,Bad Santa,1,"Comedy, Crime, Drama",2003,7.0,131340.0
71,tt1798603,Bad Santa 2,Bad Santa,2,"Comedy, Crime, Drama",2016,5.6,21964.0
74,tt0414852,Banlieue 13,Banlieue,1,"Action, Crime, Sci-Fi, Thriller",2004,7.2,65415.0
75,tt1247640,Banlieue 13: Ultimatum,Banlieue,2,"Action, Crime, Thriller",2009,6.5,42388.0
76,tt0103772,Basic Instinct,Basic Instinct,1,"Drama, Mystery, Thriller",1992,7.0,166652.0
77,tt0430912,Basic Instinct 2,Basic Instinct,2,"Drama, Mystery, Thriller",2006,4.3,36610.0
78,tt0096895,Batman,Batman,1,"Action, Adventure",1989,7.5,329343.0
79,tt0103776,Batman Returns,Batman,2,"Action, Crime, Fantasy",1992,7.0,266527.0
80,tt0112462,Batman Forever,Batman,3,"Action, Adventure",1995,5.4,229775.0
81,tt0118688,Batman & Robin,Batman,4,"Action, Sci-Fi",1997,3.7,228438.0
82,tt0372784,Batman Begins,Batman,5,"Action, Adventure",2005,8.2,1266591.0
83,tt0468569,The Dark Knight,Batman,6,"Action, Crime, Drama, Thriller",2008,9.0,2220190.0
84,tt1345836,The Dark Knight Rises,Batman,7,"Action, Adventure",2012,8.4,1467622.0
88,tt0112471,Before Sunrise,Before Sunrise,1,"Drama, Romance",1995,8.1,258483.0
89,tt0381681,Before Sunset,Before Sunrise,2,"Drama, Romance",2004,8.0,225467.0
90,tt2209418,Before Midnight,Before Sunrise,3,"Drama, Romance",2013,7.9,134325.0
94,tt0086960,Beverly Hills Cop,Beverly Hills Cop,1,"Action, Comedy, Crime, Thriller",1984,7.3,157560.0
95,tt0092644,Beverly Hills Cop II,Beverly Hills Cop,2,"Action, Comedy, Crime, Thriller",1987,6.5,103899.0
96,tt0109254,Beverly Hills Cop III,Beverly Hills Cop,3,"Action, Comedy, Crime, Thriller",1994,5.6,74056.0
97,tt0208003,Big Momma's House,Big Mommas,1,"Action, Comedy, Crime",2000,5.2,79344.0
98,tt0421729,Big Momma's House 2,Big Mommas,2,"Comedy, Crime",2006,4.7,39710.0
99,tt1464174,"Big Mommas: Like Father, Like Son",Big Mommas,3,"Action, Comedy, Crime",2011,4.4,24869.0
